NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	GNGT1	497	2.3136403560638428	0.0012737162	Yes	
row_1	SQSTM1	859	2.0504565238952637	0.006494022	Yes	
row_2	NGF	1107	1.9248034954071045	0.016125025	Yes	
row_3	FGF6	1735	1.7055957317352295	0.0036454038	Yes	
row_4	E2F1	1850	1.6724010705947876	0.017193712	Yes	
row_5	PPP1CA	1978	1.6325347423553467	0.029609798	Yes	
row_6	IL4	2063	1.6094098091125488	0.043971367	Yes	
row_7	TRIB3	2440	1.4950834512710571	0.041971017	Yes	
row_8	PLCB1	2490	1.4836654663085938	0.056674674	Yes	
row_9	FGF22	2726	1.4303784370422363	0.061182853	Yes	
row_10	NFKBIB	2735	1.4285625219345093	0.077357724	Yes	
row_11	CDK2	2781	1.4162242412567139	0.091484286	Yes	
row_12	TBK1	3010	1.3692986965179443	0.0956437	Yes	
row_13	MKNK1	3053	1.3584078550338745	0.10925342	Yes	
row_14	CDK4	3054	1.3583548069000244	0.12502503	Yes	
row_15	TRAF2	3097	1.3463579416275024	0.13849485	Yes	
row_16	ARHGDIA	3442	1.272213101387024	0.1355544	Yes	
row_17	SLA	3488	1.2616724967956543	0.1478865	Yes	
row_18	SLC2A1	3619	1.2314109802246094	0.15549074	Yes	
row_19	CXCR4	3727	1.205881118774414	0.1639828	Yes	
row_20	LCK	4144	1.1246460676193237	0.15562184	Yes	
row_21	MKNK2	4787	1.0103501081466675	0.13429753	Yes	
row_22	SFN	4803	1.0052827596664429	0.14519736	Yes	
row_23	PRKCB	5033	0.9638912677764893	0.14459817	Yes	
row_24	STAT2	5096	0.9543635845184326	0.15248686	Yes	
row_25	NOD1	5350	0.9101456999778748	0.15002793	Yes	
row_26	ECSIT	5565	0.8699780106544495	0.14911065	Yes	
row_27	FGF17	5579	0.8678497076034546	0.15851775	Yes	
row_28	AKT1S1	5649	0.8572256565093994	0.16491817	Yes	
row_29	PDK1	5964	0.8120884895324707	0.15817994	Yes	
row_30	TIAM1	5970	0.8113651871681213	0.16734312	Yes	
row_31	PIK3R3	6145	0.7846519947052002	0.16749465	Yes	
