NAME	TITLE	SCORE	
OPRD1		5.1808314	
BUB1		4.971157	
ZNF703		4.3812714	
MED20		4.102133	
ABHD1		4.0221405	
TSHZ3		3.940721	
ITGB4		3.9126596	
WEE2		3.8500533	
ZBTB10		3.7711802	
SPAM1		3.726775	
RGN		3.7263525	
DEPDC1		3.6946132	
ROS1		3.6675332	
SEMA3F		3.663234	
ETAA1		3.604864	
ARL14EPL		3.6001556	
GSKIP		3.5964074	
FAM83B		3.5750952	
HHIPL1		3.5514257	
SLC34A2		3.4697878	
ECHDC1		3.4619734	
YRDC		3.4543197	
IQCD		3.4527087	
CHST1		3.4462183	
GFRA2		3.3840387	
LINC01496		3.3541076	
MYO1H		3.3410711	
RNF152		3.3221006	
HRNR		3.319301	
PRR21		3.2981894	
FAM72C		3.2954855	
CCDC71L		3.2950633	
CEMIP		3.284206	
ZNF641		3.2836525	
ZBTB5		3.2834678	
SLC6A15		3.275837	
KIAA1522		3.2464664	
SPATA31C2		3.2456923	
PCDH15		3.245119	
PAK6		3.2411933	
FAM186B		3.2324498	
FAM92A1		3.2301974	
CHIA		3.224077	
AANAT		3.2210984	
NDST4		3.2046437	
RNF182		3.204376	
SMO		3.1797655	
CSAG3		3.173107	
KLHL26		3.1663623	
SEC14L4		3.1654334	
MMD		3.155382	
VAMP4		3.1530411	
MKI67		3.1397274	
CYB5R4		3.1380196	
ZBTB18		3.1352048	
NWD2		3.1320438	
GRAMD2		3.1182601	
ANLN		3.1010635	
USP38		3.0958679	
SLC25A2		3.0936148	
MYOCD		3.0700204	
PCDH11Y		3.0610938	
STK32B		3.0552876	
SYNPR		3.0397844	
C1orf101		3.037378	
AASS		3.035239	
ATP11C		3.0204268	
ZSCAN26		3.0158815	
FBXW10		3.015684	
ABHD12		3.014147	
COCH		3.0052333	
TTI2		3.0030553	
LOXHD1		2.999445	
CCDC190		2.9941998	
CENPF		2.9907131	
ELOVL3		2.9903436	
COL6A6		2.9878762	
RNF133		2.9861476	
OR8G1		2.9768906	
UQCRC1		2.9765508	
HIST1H3C		2.9666746	
CCDC77		2.9658444	
TDRD1		2.9658132	
BAIAP2L1		2.9639277	
STOX2		2.9621294	
NUDT19		2.9519622	
ZFP92		2.9390025	
GORAB		2.9353867	
RBPJL		2.9321125	
OTOP2		2.924403	
AP1G1		2.9206119	
IL36A		2.9199576	
SIX6		2.9198139	
FUT10		2.9165509	
PFKFB1		2.9149566	
DKK1		2.9134197	
FAM71D		2.907592	
C15orf39		2.8999171	
F12		2.8966854	
XKR9		2.8937426	
NDUFAF4		2.8919349	
RPL13		2.885857	
LINC00552		2.8851628	
EIF4EBP1		2.87668	
YDJC		2.8735082	
DPPA5		2.8671544	
PRR11		2.8655953	
CACNA2D3		2.8640301	
SPINK6		2.858094	
ZRANB1		2.8511956	
DNHD1		2.850042	
ADAMTS18		2.848177	
TLL1		2.8466234	
CDCA7L		2.8460584	
GCAT		2.8404195	
MUC7		2.8401484	
FAM47E		2.839555	
NLK		2.837402	
SLC30A10		2.836778	
ADH6		2.8292854	
CTAGE9		2.8239381	
ARHGEF35		2.823313	
IL22RA1		2.8205297	
PHYHIPL		2.8104484	
ANO5		2.801288	
TCTN3		2.799004	
MLKL		2.797992	
KLF14		2.7972758	
HSD17B6		2.7972362	
GSTP1		2.7934847	
OR2T8		2.790798	
REC114		2.78924	
ANKRD62		2.7867205	
ALMS1		2.7778661	
ZBTB22		2.7732816	
LINC00336		2.7723544	
SYCE2		2.7704737	
TBC1D17		2.768743	
MYOD1		2.763999	
HCP5		2.7636461	
DPYSL3		2.7608287	
PAQR5		2.7591715	
MROH7		2.7549198	
STPG1		2.7537415	
OR52E8		2.7530282	
MYH1		2.752914	
DIAPH3		2.7528875	
OR6C70		2.752741	
WDR64		2.7525861	
ST7.AS1		2.7517128	
TUBD1		2.7486546	
MMP14		2.7450087	
NTSR2		2.7442791	
LINC00934		2.7438433	
TACR2		2.7426498	
NAP1L2		2.7377183	
LIG1		2.7362223	
AC008753.6		2.732842	
TSNAX.DISC1		2.7314665	
PITRM1		2.726391	
SLCO1A2		2.7257736	
IL31RA		2.7240584	
RAB7B		2.7229328	
CERS2		2.7221029	
RPAP3		2.7206686	
ASF1A		2.7171261	
PTGES		2.7139113	
FAM47C		2.713051	
NEK11		2.712435	
HTR3E		2.7077892	
ZNF471		2.7069793	
HEPN1		2.7032733	
SLC7A3		2.7016668	
GNRHR		2.6986701	
SLC22A25		2.6977153	
AGPAT4.IT1		2.6977067	
OR4C45		2.697184	
GPR150		2.6967742	
KMT5C		2.6963475	
SLC25A41		2.6935124	
OR13C4		2.6908886	
COL27A1		2.68967	
RNFT1		2.6857169	
SLCO4A1.AS1		2.6855252	
DGAT2L6		2.6851556	
CRHR1		2.6829283	
PLK1		2.679973	
B4GALT3		2.678349	
